i,j,x,y,initial,numerical,exact,error,absError
0,3,5.0000000000000003e-02,3.4999999999999998e-01,5.8778525229247325e-01,1.2603399446000001e+00,5.8778525229247280e-01,6.7255469230752729e-01,6.7255469230752729e-01
1,3,1.4999999999999999e-01,3.4999999999999998e-01,1.2246467991473532e-16,4.5096133540700001e-01,-3.6739403974420594e-16,4.5096133540700040e-01,4.5096133540700040e-01
2,3,2.5000000000000000e-01,3.4999999999999998e-01,-5.8778525229247303e-01,-5.3066917629400001e-01,-5.8778525229247336e-01,5.7116075998473348e-02,5.7116075998473348e-02
3,3,3.4999999999999998e-01,3.4999999999999998e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515364e-01,-3.5854558313484630e-01,3.5854558313484630e-01
4,3,4.5000000000000001e-01,3.4999999999999998e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
5,3,5.5000000000000004e-01,3.4999999999999998e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
6,3,6.5000000000000002e-01,3.4999999999999998e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
7,3,7.5000000000000000e-01,3.4999999999999998e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229247403e-01,-5.7116075998474014e-02,5.7116075998474014e-02
8,3,8.4999999999999998e-01,3.4999999999999998e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515364e-01,3.5854558313484630e-01,3.5854558313484630e-01
9,3,9.4999999999999996e-01,3.4999999999999998e-01,9.5105651629515420e-01,1.5883115323300001e+00,9.5105651629515375e-01,6.3725501603484636e-01,6.3725501603484636e-01
0,4,5.0000000000000003e-02,4.5000000000000001e-01,1.2246467991473532e-16,4.5096133540700001e-01,-3.6739403974420594e-16,4.5096133540700040e-01,4.5096133540700040e-01
1,4,1.4999999999999999e-01,4.5000000000000001e-01,-5.8778525229247303e-01,-5.3066917629400001e-01,-5.8778525229247336e-01,5.7116075998473348e-02,5.7116075998473348e-02
2,4,2.5000000000000000e-01,4.5000000000000001e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515364e-01,-3.5854558313484630e-01,3.5854558313484630e-01
3,4,3.4999999999999998e-01,4.5000000000000001e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
4,4,4.5000000000000001e-01,4.5000000000000001e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
5,4,5.5000000000000004e-01,4.5000000000000001e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
6,4,6.5000000000000002e-01,4.5000000000000001e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229247403e-01,-5.7116075998474014e-02,5.7116075998474014e-02
7,4,7.5000000000000000e-01,4.5000000000000001e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515364e-01,3.5854558313484630e-01,3.5854558313484630e-01
8,4,8.4999999999999998e-01,4.5000000000000001e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515353e-01,6.3725501603484658e-01,6.3725501603484658e-01
9,4,9.4999999999999996e-01,4.5000000000000001e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229247336e-01,6.7255469230752674e-01,6.7255469230752674e-01
0,5,5.0000000000000003e-02,5.5000000000000004e-01,-5.8778525229247336e-01,-5.3066917629400001e-01,-5.8778525229247336e-01,5.7116075998473348e-02,5.7116075998473348e-02
1,5,1.4999999999999999e-01,5.5000000000000004e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515420e-01,-3.5854558313484575e-01,3.5854558313484575e-01
2,5,2.5000000000000000e-01,5.5000000000000004e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
3,5,3.4999999999999998e-01,5.5000000000000004e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
4,5,4.5000000000000001e-01,5.5000000000000004e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
5,5,5.5000000000000004e-01,5.5000000000000004e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229247403e-01,-5.7116075998474014e-02,5.7116075998474014e-02
6,5,6.5000000000000002e-01,5.5000000000000004e-01,9.5105651629515375e-01,1.3096020994299999e+00,9.5105651629515386e-01,3.5854558313484608e-01,3.5854558313484608e-01
7,5,7.5000000000000000e-01,5.5000000000000004e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515353e-01,6.3725501603484658e-01,6.3725501603484658e-01
8,5,8.4999999999999998e-01,5.5000000000000004e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229247336e-01,6.7255469230752674e-01,6.7255469230752674e-01
9,5,9.4999999999999996e-01,5.5000000000000004e-01,3.6739403974420594e-16,4.5096133540700001e-01,-1.2246467991473532e-16,4.5096133540700012e-01,4.5096133540700012e-01
0,6,5.0000000000000003e-02,6.5000000000000002e-01,-9.5105651629515353e-01,-1.3096020994299999e+00,-9.5105651629515420e-01,-3.5854558313484575e-01,3.5854558313484575e-01
1,6,1.4999999999999999e-01,6.5000000000000002e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
2,6,2.5000000000000000e-01,6.5000000000000002e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
3,6,3.4999999999999998e-01,6.5000000000000002e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
4,6,4.5000000000000001e-01,6.5000000000000002e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229247403e-01,-5.7116075998474014e-02,5.7116075998474014e-02
5,6,5.5000000000000004e-01,6.5000000000000002e-01,9.5105651629515375e-01,1.3096020994299999e+00,9.5105651629515386e-01,3.5854558313484608e-01,3.5854558313484608e-01
6,6,6.5000000000000002e-01,6.5000000000000002e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515353e-01,6.3725501603484658e-01,6.3725501603484658e-01
7,6,7.5000000000000000e-01,6.5000000000000002e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229247336e-01,6.7255469230752674e-01,6.7255469230752674e-01
8,6,8.4999999999999998e-01,6.5000000000000002e-01,3.6739403974420594e-16,4.5096133540700001e-01,-1.2246467991473532e-16,4.5096133540700012e-01,4.5096133540700012e-01
9,6,9.4999999999999996e-01,6.5000000000000002e-01,-5.8778525229247280e-01,-5.3066917629400001e-01,-5.8778525229247358e-01,5.7116075998473570e-02,5.7116075998473570e-02
0,7,5.0000000000000003e-02,7.5000000000000000e-01,-9.5105651629515364e-01,-1.5883115323300001e+00,-9.5105651629515353e-01,-6.3725501603484658e-01,6.3725501603484658e-01
1,7,1.4999999999999999e-01,7.5000000000000000e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
2,7,2.5000000000000000e-01,7.5000000000000000e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
3,7,3.4999999999999998e-01,7.5000000000000000e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229247403e-01,-5.7116075998474014e-02,5.7116075998474014e-02
4,7,4.5000000000000001e-01,7.5000000000000000e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515364e-01,3.5854558313484630e-01,3.5854558313484630e-01
5,7,5.5000000000000004e-01,7.5000000000000000e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515353e-01,6.3725501603484658e-01,6.3725501603484658e-01
6,7,6.5000000000000002e-01,7.5000000000000000e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229247336e-01,6.7255469230752674e-01,6.7255469230752674e-01
7,7,7.5000000000000000e-01,7.5000000000000000e-01,3.6739403974420594e-16,4.5096133540700001e-01,-1.2246467991473532e-16,4.5096133540700012e-01,4.5096133540700012e-01
8,7,8.4999999999999998e-01,7.5000000000000000e-01,-5.8778525229247280e-01,-5.3066917629400001e-01,-5.8778525229247358e-01,5.7116075998473570e-02,5.7116075998473570e-02
9,7,9.4999999999999996e-01,7.5000000000000000e-01,-9.5105651629515342e-01,-1.3096020994299999e+00,-9.5105651629515353e-01,-3.5854558313484641e-01,3.5854558313484641e-01
0,8,5.0000000000000003e-02,8.4999999999999998e-01,-5.8778525229247336e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
1,8,1.4999999999999999e-01,8.4999999999999998e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
2,8,2.5000000000000000e-01,8.4999999999999998e-01,5.8778525229247358e-01,5.3066917629400001e-01,5.8778525229247403e-01,-5.7116075998474014e-02,5.7116075998474014e-02
3,8,3.4999999999999998e-01,8.4999999999999998e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515364e-01,3.5854558313484630e-01,3.5854558313484630e-01
4,8,4.5000000000000001e-01,8.4999999999999998e-01,9.5105651629515364e-01,1.5883115323300001e+00,9.5105651629515353e-01,6.3725501603484658e-01,6.3725501603484658e-01
5,8,5.5000000000000004e-01,8.4999999999999998e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229247336e-01,6.7255469230752674e-01,6.7255469230752674e-01
6,8,6.5000000000000002e-01,8.4999999999999998e-01,3.6739403974420594e-16,4.5096133540700001e-01,-1.2246467991473532e-16,4.5096133540700012e-01,4.5096133540700012e-01
7,8,7.5000000000000000e-01,8.4999999999999998e-01,-5.8778525229247280e-01,-5.3066917629400001e-01,-5.8778525229247358e-01,5.7116075998473570e-02,5.7116075998473570e-02
8,8,8.4999999999999998e-01,8.4999999999999998e-01,-9.5105651629515342e-01,-1.3096020994299999e+00,-9.5105651629515353e-01,-3.5854558313484641e-01,3.5854558313484641e-01
9,8,9.4999999999999996e-01,8.4999999999999998e-01,-9.5105651629515431e-01,-1.5883115323300001e+00,-9.5105651629515386e-01,-6.3725501603484624e-01,6.3725501603484624e-01
0,9,5.0000000000000003e-02,9.4999999999999996e-01,-2.4492935982947064e-16,-4.5096133540700001e-01,2.4492935982947064e-16,-4.5096133540700023e-01,4.5096133540700023e-01
1,9,1.4999999999999999e-01,9.4999999999999996e-01,5.8778525229247214e-01,5.3066917629400001e-01,5.8778525229247258e-01,-5.7116075998472571e-02,5.7116075998472571e-02
2,9,2.5000000000000000e-01,9.4999999999999996e-01,9.5105651629515353e-01,1.3096020994299999e+00,9.5105651629515364e-01,3.5854558313484630e-01,3.5854558313484630e-01
3,9,3.4999999999999998e-01,9.4999999999999996e-01,9.5105651629515420e-01,1.5883115323300001e+00,9.5105651629515375e-01,6.3725501603484636e-01,6.3725501603484636e-01
4,9,4.5000000000000001e-01,9.4999999999999996e-01,5.8778525229247336e-01,1.2603399446000001e+00,5.8778525229247336e-01,6.7255469230752674e-01,6.7255469230752674e-01
5,9,5.5000000000000004e-01,9.4999999999999996e-01,3.6739403974420594e-16,4.5096133540700001e-01,-1.2246467991473532e-16,4.5096133540700012e-01,4.5096133540700012e-01
6,9,6.5000000000000002e-01,9.4999999999999996e-01,-5.8778525229247280e-01,-5.3066917629400001e-01,-5.8778525229247358e-01,5.7116075998473570e-02,5.7116075998473570e-02
7,9,7.5000000000000000e-01,9.4999999999999996e-01,-9.5105651629515342e-01,-1.3096020994299999e+00,-9.5105651629515353e-01,-3.5854558313484641e-01,3.5854558313484641e-01
8,9,8.4999999999999998e-01,9.4999999999999996e-01,-9.5105651629515431e-01,-1.5883115323300001e+00,-9.5105651629515386e-01,-6.3725501603484624e-01,6.3725501603484624e-01
9,9,9.4999999999999996e-01,9.4999999999999996e-01,-5.8778525229247347e-01,-1.2603399446000001e+00,-5.8778525229247358e-01,-6.7255469230752651e-01,6.7255469230752651e-01
